,aerials_won,age,assists,avg_rating,bad_controls,blocks,clearances,country,crosses,dispossessed,dribbled_past,dribbles,first_eleven,fouled,fouls,goals,height_cm,interceptions,key_passes,long_balls,man_of_the_match,minutes_played,offsides,offsides_won,own_goals,pass_accuracy,passes,player_id,player_name,position,red_cards,shots,substituted_on,tackles,team,through_balls,weight_kg,yellow_cards
3697,1.3,23,0,6.37,0.6,0.7,4.3,br,0.1,0.2,0.3,0.0,7,0.2,0.9,1,189,1.3,0.0,4.1,0,684,0.0,0.6,0,78.6,33.8,129114,Doria,D(C),0,0.6,2,0.4,Yeni Malatyaspor,0.0,82,3
3698,0.4,29,0,6.3,1.1,0.1,0.0,br,0.0,0.5,0.5,0.4,0,0.5,0.8,2,178,0.1,0.3,0.2,0,293,0.1,0.0,0,65.0,5.0,101698,Gilberto,FW,0,1.3,12,0.3,Yeni Malatyaspor,0.0,70,0
3699,0.8,30,0,6.28,1.0,0.0,0.3,tr,0.6,0.7,1.0,0.2,4,0.4,0.3,0,180,0.2,0.9,0.0,0,357,0.2,0.1,0,74.1,12.9,36127,Turgut Dogan Sahin,AM(L),0,0.3,5,0.3,Yeni Malatyaspor,0.2,71,0
3700,0.8,22,0,6.27,0.5,0.0,0.3,tr,0.0,0.8,0.0,0.0,1,0.0,0.3,1,190,0.0,0.0,0.3,0,92,0.3,0.0,0,69.2,3.3,122309,Batuhan Altintas,FW,0,1.0,3,0.5,Yeni Malatyaspor,0.0,85,0
3701,0.5,21,0,6.26,0.5,0.0,1.0,tr,0.0,0.0,0.5,0.0,0,1.0,0.5,0,0,0.0,0.0,0.0,0,26,0.0,0.5,0,100.0,3.5,351519,Mustafa Eskihellac,Midfielder,0,0.0,2,1.5,Yeni Malatyaspor,0.0,0,1
3702,0.2,31,1,6.2,1.3,0.0,0.3,sn,0.5,1.2,0.3,1.1,6,0.8,0.3,0,172,0.1,0.3,0.0,0,571,0.1,0.0,0,76.7,11.1,13849,Issiar Dia,M(R),0,0.7,6,0.3,Yeni Malatyaspor,0.0,73,0
3703,0.0,22,0,6.07,0.0,0.0,0.0,tr,0.0,0.3,0.0,0.5,0,0.0,0.0,0,183,0.0,0.0,0.3,0,19,0.0,0.0,0,80.0,2.5,109757,Berk Yildiz,Midfielder,0,0.5,4,0.3,Yeni Malatyaspor,0.0,75,0
3704,0.3,21,0,7.55,0.0,0.0,1.0,tr,0.0,0.0,0.0,0.0,3,1.3,0.0,0,0,0.0,0.0,10.0,1,270,0.0,0.0,0,57.9,31.7,343219,Muhammed Sengezer,Goalkeeper,0,0.0,0,0.0,Bursaspor,0.0,0,0
3705,0.8,34,6,7.12,1.6,0.1,0.5,ar,1.3,1.4,1.7,0.9,29,1.5,1.3,5,170,0.7,2.6,2.4,4,2468,0.3,0.0,0,82.5,50.8,25884,Pablo Batalla,AM(C),0,1.4,0,1.9,Bursaspor,0.2,65,7
3706,2.6,25,2,7.1,0.9,0.6,1.9,ng,0.0,1.1,1.4,1.1,22,0.9,2.0,2,184,2.3,0.2,1.8,3,1913,0.0,0.1,0,82.3,47.9,112440,Agu,DMC,0,0.9,1,3.2,Bursaspor,0.0,77,5
